apache_raiders;Apache Raiders;;;;;;;;;;;;;x,,,,
assimilation_stopped;Ceased Balkan Assimilation Program;;;;;;;;;;;;;x,,,,
atlantic_slave_trade_title;The Atlantic Slave Trade;;;;;;;;;;;;;x,,,,
attending_berlin_congress;Attending the Congress;;;;;;;;;;;;x,,,,
backroom_boy;Backroom Boy;;;;;;;;;;;;;x,,,,
backroom_boy_desc;Our leader hails from the ranks of the bureaucracy, possessing a way of ensuring the country's administration is run smoothly.;;;;;;;;;;;;;x,,,
balkan_assim_program;Balkan Assimilation Program;;;;;;;;;;;;;x,,,,
balkan_assim_program_desc;The Glorious Balkan Assimilation Program seeks to assimilate the foreign non-accepted cultures in the Balkans in order to properly bring them to Turkishness. Higher militancy and consciousness is to be expected, and the program has bled over into other parts of the nation as well.;;;;;;;;;;;;;x,,,
balkan_assim_program_title;Balkan Assimilation Program;;;;;;;;;;;;;x,,,,
balkan_assimilation;Undergoing the Balkan Assimilation Program;;;;;;;;;;;;;x,,,,
begin_revolution;Revolutionary State;;;;;;;;;;;;x,,,,
begin_revolution_desc;Our country is a fledgling state, founded in the midst of chaos and rebellion. But the people are willing to fight!;;;;;;;;;;;;x,,,
boer_exodus;Steenkooler Exodus;;;;;;;;;x
boer_exodus_desc;Steenkoolers are leaving this province en masse for the hinterland and the Steenkooler Republics.;;;;;;;;;;x;;;;
boer_republic;Steenkooler Republic;;;;;;;;;;;;x,,,,
boer_republic_desc;We have established a new nation, dominated by the Vorausers and carved from the territory of African natives. This is a new opportunity for us to live outside of Dutch rule, now and forever.;;;;;;;;;;;;x,,
border_incident;Recent Border Incident;;;;;;;;;;;;;x,,,,
border_incident_desc;We have recently had a border incident, stirring up trouble with a Great Power.;;;;;;;;;;;;;x,,,
boxer_agitation;Boxer Agitation;;;;;;;;;;;;x,,,,
boxer_agitation_desc;Our efforts to suppress the Boxers in this province has angered them, turning these nationalists against our government.;;;;;;;;;;;;x,,,
boxer_presence;Boxer Presence;;;;;;;;;;;;x,,,,
boxer_presence_desc;The Righteous Harmony Society is present in this province, disrupting regular trade as they act against foreign influence.;;;;;;;;;;;;x,,,
boxer_rebellion;Boxer Rebellion;;;;;;;;;;;;x,,,,
boxer_rebellion_desc;The province is currently held by the Boxer rebels, and is in great disarray.;;;;;;;;;;;;x,,,
caligold;Gold Rush;;;;;;;;;;;;;x,,,,
caste_privileges;Caste Privilege;;;;;;;;;;;;x,,,,
caste_privileges_desc;An early goal of British Imperialists in India was to create a class of local elites in their own image. They were successful, forming a new caste of wealthy Indians who rose to prominence within the colony.;;;;;;;;;;;;x,,,
caucasian_truce_local;Caucasian War - Truce;;;;;;;;;;;;;x,,,,
caucasian_truce_local_desc;The Caucasian War is undergoing a truce, for now. The uneasy tension that the locals have with their Russian occupiers is a welcome break from the previous state of war, but it is an uneasy truce brokered by the blood of both sides.;;;;;;;;;;;;;x,,
caucasian_truce_local_title;The Caucasian War - Truce;;;;;;;;;;;;;x,,,,
caucasian_war_local;Caucasian War;;;;;;;;;;;;;x,,,,
caucasian_war_local_desc;The ongoing Caucasian War is causing unrest and lack of productivity in these provinces.;;;;;;;;;;;;;x,,,,
caucasian_war_local_title;The Caucasian War;;;;;;;;;;;;;x,,,,
chinese_floods;Chinese Floods;;;;;;;;;;;;x,,,,
chinese_substate;Qing Oppression;;;;;;;;;;;;x,,,,
chinese_substate_desc;The oppression by the Qing Emperor has left our nation in disarray.;;;;;;;;;;;;x,,,,
christian_pamphlets;Christian Pamphlets;;;;;;;;;;;;x,,,,
christian_repression;Christian Repression;;;;;;;;;;;;;x,,,,
christian_repression_desc;Taiping missionaries are being actively repressed in this province.;;;;;;;;;;;;;x,,,,
colonial_chaos;Colonial Chaos;;;;;;;;;;;;x,,,,
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;x,,,
communist_industry;Industrial Modernization;;;;;;;;;;;;;x,,,,
communist_loyalty;Party Loyalty Scheme;;;;;;;;;;;;;x,,,,
communist_military;Military Program;;;;;;;;;;;;;x,,,,
communist_technology;Research Focus;;;;;;;;;;;;;x,,,,
competent_placeholder;Competent Placeholder;;;;;;;;;;;;;x,,,,
competent_placeholder_desc;Little good can be said about our leader. Fortunately, little bad can be said about him as well.;;;;;;;;;;;;;x,,,
core_integration;Core Integration;;;;;;;;;;;;;x,,,,
core_integration_desc;The province is being integrated into the rest of the country, a slow process that may cause problems here.;;;;;;;;;;;;;x,,,
coup_risk;Coup D'etat Risk;;;;;;;;;;;;;x,,,,
coup_risk_desc;There is dissension within the nation's military, one that is leading to a breakdown of order not only within the ranks but within the country itself. Some fear the army will rise up and take over the government.;;;;;;;;;;;;;x,,,
crimean_surrender;the Ottomans have surrendered;;;;;;;;;;;;x,,,,
customs_union;Customs Union;;;;;;;;;;;;;x,,,,
customs_union_desc;We are a member of a customs union, designed to reduce the barriers in trade between the member nations.;;;;;;;;;;;;;x,,,
daimyo_draft;Emergency Draft;;;;;;;;;;;;x,,,,
daimyo_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;x,,,,
declaration_of_the_rights_of_man;Declaration of the Rights of Man;;;;;;;;;;;;x,,,,
declaration_of_the_rights_of_man_desc;The Declaration of the Rights of Man and of the Citizen, a fundamental document of the French Revolution, defined the individual and collective rights of all the estates of the realm as universal.;;;;;;;;;;;;x,,
desc_election_cooldown;Our voters are currently debating and discussing all important issues.;;;;;;;;;;;;;x,,,,
desc_social_reform_movement;Socialists and communists have initiated a countrywide agenda for better living conditions.;;;;;;;;;;;;;x,,,,
desc_violent_elections;The current elections turned out have a quite violent undertone in the ongoing campaigns.;;;;;;;;;;;;;x,,,,
dour_economist;Dour Economist;;;;;;;;;;;;;x,,,,
dour_economist_desc;Our leader has a penchant for numbers and economics, even if he isn't particularly good with people.;;;;;;;;;;;;;x,,,
drive_to_reunify;Reunification Drive;;;;;;;;;;;;x,,,,
drive_to_reunify_desc;We must reunite the country, at any cost!;;;;;;;;;;;;x,,,
dutch_east_india;East Indies Company;;;;;;;;;;;;x,,,,
dutch_east_india_desc;Greatest of the jewels in our nation's crown is the East Indies colony.;;;;;;;;;;;;x,,,,
efficient_sociopath;Efficient Sociopath;;;;;;;;;;;;;x,,,,
efficient_sociopath_desc;The country has never run more smoothly than under our leader's guidance. Everyone agrees. Just ask them. They're all nodding and smiling, aren't they?;;;;;;;;;;;;;x,,,
election_cooldown;Ongoing Elections;;;;;;;;;;;;;x,,,,
emergency_tax_measures1;Emergency Measures;;;;;;;;;;;;x,,,,
emergency_tax_measures1_desc;Our financial situation has forced us to adopt draconian, and very unpopular, tax measures.;;;;;;;;;;;;x,,
emergency_tax_measures2;Extreme Measures;;;;;;;;;;;;x,,,,
emergency_tax_measures2_desc;Our financial situation has forced us to adopt draconian, and very unpopular, tax measures.;;;;;;;;;;;;x,,
emperor_meiji;Emperor Meiji;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_the_war;End the War;La Guerre Doit Finir;Der Krieg Muss Beenden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
end_the_war_desc;Our enemy is defeated. The people call out for us to end the war, even if we don't get everything we intended.;;;;;;;;;;;;;x,,,
expert_diplomat;Expert Diplomat;;;;;;;;;;;;;x,,,,
expert_diplomat_desc;Our leader is an expert in the art of diplomacy.;;;;;;;;;;;;;x,,,,
fight_the_power;Government Resistance;;;;;;;;;;;;;x,,,,
fight_the_power_desc;There is rising dissension against the government, both among the people and within the military. We will have difficulty keeping order until this passes.;;;;;;;;;;;;;x,,,
force_publique;Force Publique;;;;;;;;;;;;x,,,,
force_publique_desc;The Force Publique was the official armed force of the Belgian-controlled Congo Free State. Though ostensibly formed to combat Arab Slavers, the soldiers were often used to enforce economic quotas with brutal punishment.;;;;;;;;;;;;x,,,
force_publique_title;Form the Force Publique;;;;;;;;;;;;x,,,,
fudai_daimyo;Fudai Daimyo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gateway_to_harbor;Gateway to a New Land;;;;;;;;;;;;;x,,,,
gateway_to_harbor_desc;Many immigrants from around the world will pass through our great harbor, and a great number of them will remain in the city.;;;;;;;;;;;;;x,,,
gauche_buffoon;Gauche Buffoon;;;;;;;;;;;;;x,,,,
gauche_buffoon_desc;For the love of God, don't let our leader interact with foreign dignitaries. He has, shall we say, a facility for saying the wrong thing at the wrong time.;;;;;;;;;;;;;x,
great_reformer;Great Reformer;;;;;;;;;;;;;x,,,,
great_reformer_desc;A champion of reform, our leader is seen as someone who can enact significant change in our country.;;;;;;;;;;;;;x,,,
great_statesman;Great Statesman;;;;;;;;;;;;;x,,,,
great_statesman_desc;Our leader is an able speaker and a fine statesman, respected by other world leaders.;;;;;;;;;;;;;x,,,
great_war2;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
great_war2_desc;Massive shortages are causing our people's enthusiasm for war to dim.;;;;;;;;;;;;;x,,,,
great_war3;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;x,,,,
great_war3_desc;If we do not end the war soon, things will go very badly for us.;;;;;;;;;;;;;x,,,
great_war;Total War;Guerre Totale;Größer Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_desc;We are in a state of total war with our enemies. We must rise up as one, or risk the destruction of our entire way of life.;;;;;;;;;;;;;x,,,
greek_assim;Assimilation Policy;;;;;;;;;;;;;x,,,,
greek_assim_desc;Following the establishment of the new Byzantine Empire a policy of assimilation was enacted across the empire to bring people together in the Greek way of life.;;;;;;;;;;;;;x,,,,
greek_assim_title;Assimilation Policy;;;;;;;;;;;;;x,,,,
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;x,,,,
hms_government;Constitutional Monarchy;;;;;;;;;;;;;x
holy_city;The Holy City;;;;;;;;;;;;x,,,,
holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;x,,,
imperious_autocrat;Imperious Autocrat;;;;;;;;;;;;;x,,,,
imperious_autocrat_desc;No-one challenges our leader, for any reason. That said, he's quite impressive.;;;;;;;;;;;;;x,,
indian_call_to_union;Indian Nationalism Has Begun;;;;;;;;;;;;x,,,,
integration_refusal;No Integration;;;;;;;;;;;;;x,,,,
integration_refusal_desc;The province is not being integrated into the rest of the country, and being allowed to maintain its separate identity.;;;;;;;;;;;;;x,,,
international_pariah;International Pariah;Paria International;Internationales Ausgestossen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
international_pariah_desc;We are a pariah in the international community for our aggressive policies.;;;;;;;;;;;;;x,,,,
irish_potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelfäule;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
irish_potato_blight_desc;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'étend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;;x;;;;;;;;;;;;;;,
irish_republicans;Irish Republicans;;;;;;;;;;;;x,,,,
irish_republicans_desc;Down with the monarchy! An Irish Free State is the only solution!;;;;;;;;;;;;x,,,,
irish_unionists;Irish Unionists;;;;;;;;;;;;x,,,,
irish_unionists_desc;Ireland is a part of the United Kingdom, now and forever more! We will not turn our back on the monarchy!;;;;;;;;;;;;x,,,
ivory_tower_intellectual;Ivory Tower Intellectual;;;;;;;;;;;;;x,,,,
ivory_tower_intellectual_desc;Our leader hails from the ranks of the intelligentsia, possessing a superior education.;;;;;;;;;;;;;x,,,
jewish_diaspora;Jewish Diaspora;;;;;;;;;;;;x,,,,
jewish_diaspora_desc;The Jewish community is organizing in reaction to the creation of Israel.;;;;;;;;;;;;x,,,,
kalmar_union;Kalmar Union;;;;;;;;;;;;;x,,,,
kalmar_union_desc;We have agreed in principle to a closer bond with the other Scandinavian nations.;;;;;;;;;;;;;x,,,,
kebabbies;Integration Policy;;;;;;;;;;;;;x,,,,
kebabbies_desc;Our policy to remove untoward elements in our country has proved successful, but new immigrants or acquisitions to the nation have not forgotten. Our core population, however, is experiencing a new state of euphoria.;;;;;;;;;;;;;x,
kebabbies_title;Integration Policy;;;;;;;;;;;;;x,,,,
land_of_opportunity;Land of Opportunity;;;;;;;;;;;;;x,,,,
land_of_opportunity_desc;We are the Land of the Free and the Home of the Brave, a bastion of democracy in the world and a haven for its poor and dispossessed.;;;;;;;;;;;;;x,,,
landed_gentleman;Landed Gentleman;;;;;;;;;;;;;x,,,,
landed_gentleman_desc;Our leader hails from the ranks of the landed gentry, a man of breeding who is familiar with our country's aristocracy.;;;;;;;;;;;;;x,,,
leader_of_kalmar;Leader of the Kalmar Union;;;;;;;;;;;;;x,,,,
leader_of_kalmar_desc;We are the leader of the movement to unite the Scandinavian people under a single flag.;;;;;;;;;;;;;x,,,,
line_of_advantage;Line of Advantage;;;;;;;;;;;;;x,,,,
line_of_advantage_desc;The concept of riekisen, or the 'line of advantage', means that we must extend Japanese influence beyond our national borders in order to ensure our security. This means turning all of the Japanese military, and indeed our people, to the notion of foreign conquest and glory.;;;;;;;;;;;;;x
local_balkan_assim;Local Balkan Assimilation;;;;;;;;;;;;;x,,,,
local_balkan_assim_desc;This province is undergoing an assimilation program originally started by the Ottoman Turkish government.;;;;;;;;;;;;;x,,,,
local_balkan_assim_title;Local Assimilation Program;;;;;;;;;;;;;x,,,,
lord_admiral;Lord Admiral;;;;;;;;;;;;;x,,,,
lord_admiral_desc;Our leader has a significant naval background, and is familiar with the needs of our country's navy.;;;;;;;;;;;;;x,,,
loss_of_control;Loss of Control;;;;;;;;;;;;x,,,,
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;x,,,,
loss_of_support;Loss of Support;;;;;;;;;;;;x,,,,
loss_of_support_desc;The ruling party has lost support in this area.;;;;;;;;;;;;x,,,,
louis_napoleon_iii;Louis-Napoléon Bonaparte;;;;;;;;;;;;;x,,,,
louis_napoleon_iii_desc;Nephew and heir of Napoleon I, he is a man of the people and carries with him a legacy that makes him seemingly invincible-- even if, at times, his decisions are reckless and of questionable military value.;;;;;;;;;;;;;x,
luddite;Luddite;;;;;;;;;;;;;x,,,,
luddite_desc;Our leader is no friend of progress and technology, favoring traditionalism over industrial development.;;;;;;;;;;;;;x,,,
man_of_the_people;Man of the People;;;;;;;;;;;;;x,,,,
man_of_the_people_desc;Our leader is charismatic, and has a way of connecting with our country's people that few understand.;;;;;;;;;;;;;x,,,
mandate_of_heaven;Mandate of Heaven;;;;;;;;;;;;;x
mass_labour_title;Mass Labour;;;;;;;;;;;;;x,,,,
militant_trade_union;Militant Trade Union;;;;;;;;;;;x
military_man;Military Man;;;;;;;;;;;;;x,,,,
military_man_desc;Our leader has a significant military background, and is familiar with the needs of our armed forces.;;;;;;;;;;;;;x,,,
military_strife;Military Strife;;;;;;;;;;;;;x,,,,
military_strife_desc;We are battling with our own army to prevent them from taking over the government. Purges are not infrequent, and the chances of soldiers defecting to join rebel causes raises with every passing day.;;;;;;;;;;;;;x,,,
mixed_economy_desc;Mixed economy is an economic system in which both the state and private sector direct the economy, reflecting characteristics of both market economies and planned economies. Most mixed economies can be described as market economies with strong regulatory oversight, and many mixed economies feature a variety of government-run enterprises and governmental provision of public goods.;;;;;;;;;;;;x,,
national_assimilation;National Assimilation;;;;;;;;;;;;;x,,,,
national_assimilation_acceptance;Assimilation Acceptance;;;;;;;;;;;;;x,,,,
national_assimilation_acceptance_desc;The minorities in this province have accepted the policies of national assimilation.;;;;;;;;;;;;;x,,,,
national_assimilation_complete;National Assimilation Complete;;;;;;;;;;;;;x,,,,
national_assimilation_desc;This province is undergoing assimilation to remove the claims that other countries have upon it.;;;;;;;;;;;;;x,,,,
national_assimilation_rejection;Assimilation Rejection;;;;;;;;;;;;;x,,,,
national_assimilation_rejection_desc;The minorities in this province have rejected the policies of national assimilation.;;;;;;;;;;;;;x,,,,
national_confusion;National Confusion;;;;;;;;;;;;x,,,,
national_confusion_desc;There has been a great deal of change in our country. It will take some time to sort things out, before business as usual can resume.;;;;;;;;;;;;x,,,
national_identity;National Identity;;;;;;;;;;;;x,,,,
national_identity_desc;The concept of nationhood began taking hold in the late 19th century, as people began to identify more with the country they lived in rather than a particular region. Nationalism quickly gave rise to rebels who sought independence from foreign rule, or to rejoin their homeland.;;;;;;;;;;;;x,,
national_instability;National Instability;;;;;;;;;;;;;x,,,,
national_instability_desc;The country is in a state of turmoil, and is in danger of rebellions.;;;;;;;;;;;;;x,,,
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;x,,,,
nationalist_agitation_desc;Nationalists are active in the province, stirring up trouble with random acts of violence. If left unchecked, they may rise in rebellion against us.;;;;;;;;;;;;x,,
neutrality;Political Neutrality;;;;;;;;;;;;;x,,,,
neutrality_desc;Our country deliberately takes no sides. We do not go to war, even against those the world universally reviles, and thus expect that no one shall go to war against us. This means we will likely never achieve recognition as a 'mover and shaker', but it also protects us. We shall not abandon our principles for the sake of power and influence.;;;;;;;;;;;;;x,
new_country;Newly-Established Country;;;;;;;;;;;;x,,,,
new_country_desc;This country has just been established, and its citizens are willing to work harder to keep it running… for the time being.;;;;;;;;;;;;x,,,
new_production;New Plantation;;;;;;;;;;;;x,,,,
new_production_desc;A new plantation has been started in this province, moving production over to cash crops rather than than the traditional farming which has been done here by the natives.;;;;;;;;;;;;x,,,
no_line_of_advantage;Path of Progress;;;;;;;;;;;;;x,,,,
no_line_of_advantage_desc;Instead of focusing on military might and conquest, Japanese security must be provided by devotion to technological progress and reform. We must match the Western powers, and quickly, or they will surely take advantage and find Japan sorely unprepared.;;;;;;;;;;;;;x,
no_more_war;No More War;Nous ne Voulons pas la Guerre;Wir Wünschen Nicht Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
no_more_war_desc;Our people are tired of war. It will be difficult to get their enthusiasm for another anytime soon, so in the meantime our ability to wage war will be very limited. §YNOTE: This means you have very few CB's that you can begin a war with while this modifier lasts!§W;;;;;;;;;;;;;x,,,
nothing_stops_progress;Nothing Stops Progress;;;;;;;;;;;;x,,,,
nothing_stops_progress_desc;We are arresting the reactionary agitators and proceeding with reforms as planned.;;;;;;;;;;;;x,,,,
nv_dominion;Dominion;;;;;;;;;;;;;x,,,,
nv_dominion_modifier;Dominion;;;;;;;;;;;;;x,,,,
nv_enlightenment;Enlightenment;;;;;;;;;;;;;x,,,,
nv_enlightenment_modifier;Enlightenment;;;;;;;;;;;;;x,,,,
nv_equality_modifier;Equality;;;;;;;;;;;;;x,,,,
nv_fraternity;Fraternity;;;;;;;;;;;;;x,,,,
nv_fraternity_modifier;Fraternity;;;;;;;;;;;;;x,,,,
nv_freedom;Freedom;;;;;;;;;;;;;x,,,,
nv_freedom_modifier;Freedom;;;;;;;;;;;;;x,,,,
nv_glory;Glory;;;;;;;;;;;;;x,,,,
nv_glory_modifier;Glory;;;;;;;;;;;;;x,,,,
nv_independence;Independence;;;;;;;;;;;;;x,,,,
nv_independence_modifier;Independence;;;;;;;;;;;;;x,,,,
nv_liberty_modifier;Liberty;;;;;;;;;;;;;x,,,,
nv_loyalty;Loyalty;;;;;;;;;;;;;x,,,,
nv_loyalty_modifier;Loyalty;;;;;;;;;;;;;x,,,,
nv_might;Might;;;;;;;;;;;;;x,,,,
nv_might_modifier;Might;;;;;;;;;;;;;x,,,,
nv_order_modifier;Order;;;;;;;;;;;;;x,,,,
nv_productivity;Productivity;;;;;;;;;;;;;x,,,,
nv_productivity_modifier;Productivity;;;;;;;;;;;;;x,,,,
nv_progress;Progress;;;;;;;;;;;;;x,,,,
nv_progress_modifier;Progress;;;;;;;;;;;;;x,,,,
nv_prosperity;Prosperity;;;;;;;;;;;;;x,,,,
nv_prosperity_modifier;Prosperity;;;;;;;;;;;;;x,,,,
nv_supremacy;Supremacy;;;;;;;;;;;;;x,,,,
nv_supremacy_modifier;Supremacy;;;;;;;;;;;;;x,,,,
nv_tradition;Tradition;;;;;;;;;;;;;x,,,,
nv_tradition_modifier;Tradition;;;;;;;;;;;;;x,,,,
nv_unity;Unity;;;;;;;;;;;;;x,,,,
nv_unity_modifier;Unity;;;;;;;;;;;;;x,,,,
onward_to_progress_title;Onward to Progress;;;;;;;;;;;;;x,,,,
oriental_crisis_support_Egypt;Supports the Egyptians;;;;;;;;;;;;x,,,,
oriental_crisis_support_OE;Supports the Ottomans;;;;;;;;;;;;x,,,,
otto_von_bismarck;Otto von Bismarck;;;;;;;;;;;;;x,,,,
otto_von_bismarck_desc;The current Chancellor of our nation, von Bismarck is a remarkable statesman… perhaps one of the finest our nation will ever know.;;;;;;;;;;;;;x,,,
party_scandal_evidence;Major National Scandal;;;;;;;;;;;;;x,,,,
party_scandal_evidence_desc;Evidence has come to light which has only worsened the national scandal, putting the government at dire risk if it should come to an election.;;;;;;;;;;;;;x,,,
patriot_uprising;Patriot Uprising;;;;;;;;;;;;x,,,,
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;x,,,,
peasant_revolt;Open Revolt;;;;;;;;;;;;x,,,,
peasant_revolt_desc;There is increased agitation within the province, including riots and random violence which the local government has had difficulty putting down.;;;;;;;;;;;;x,,,
pig_fat_cartridges;Pig Fat Cartridges;;;;;;;;;;;;x,,,,
pig_fat_cartridges_desc;The issuing of gunpowder cartridges which were believed to be greased with pig fat was considered an incredible insult by Sepoy soldiers, and further evidence of the growing cultural rift between Indians and colonial powers.;;;;;;;;;;;;x,,,
pig_headed_isolationist;Pig-Headed Isolationist;;;;;;;;;;;;;x,,,,
pig_headed_isolationist_desc;Our leader is determined to keep our country isolated, favoring unquestioning adherence to tradition over all else.;;;;;;;;;;;;;x,,,
power_vacuum;Power Vacuum;;;;;;;;;;;;x,,,,
power_vacuum_desc;The government is in a state of transition as it struggles to find its new leader… or fall in the process.;;;;;;;;;;;;x,,,,
prince_of_terror;Prince of Terror;;;;;;;;;;;;;x,,,,
prince_of_terror_desc;Woe betide anyone or any nation that gets in the way of our leader's ambition.;;;;;;;;;;;;;x,,,,
prussian_constitutionalism;Constitutional Monarchy;;;;;;;;;;;;;x
punitive_effects;National Humiliation;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects_desc;The loss of a great war, and the punitive effects of reparations have taken its toll on our people. Also, we will be all but unable to wage war unless someone declares war on us first..;;;;;;;;;;;;;x,,
rangaku;Rangaku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rangaku_desc;Meaning 'dutch learning',this refers to the body of knowledge developed by Japan through its contacts with the Dutch enclave of Dejima, which allowed Japan to keep abreast of Western technology and medicine in the period when the country was closed to foreigners.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
raving_loon;Raving Loon;;;;;;;;;;;;;x,,,,
raving_loon_desc;To put it politely, we will be fortunate if our leader does not cause the country considerable harm. Many consider him a lunatic.;;;;;;;;;;;;;x,,,
recent_crisis;Recent Crisis;;;;;;;;;;;;x,,,,
recent_crisis_desc;We have been the instigators in a recent crisis. Until memories fade, the world will likely tend to overlook any further demands we make for our territories.;;;;;;;;;;;;x,,,
ruling_party_scandal;National Scandal;;;;;;;;;;;;;x,,,,
ruling_party_scandal_desc;A recent scandal has rocked the government and eroded support for the ruling party.;;;;;;;;;;;;;x,,,,
sakoku;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku_desc;Meaning 'locked country',this is the policy under which no foreigner could enter Japan under pain of death. Maintained by the Tokugawa shogunate, it has kept the nation in enforced isolation since the 17th century.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
sati_abolished;Abolishment of Sati;;;;;;;;;;;;x,,,,
sati_abolished_desc;The abolishment of Sati funeral practices, where a recent widow immolated herself on her husband's grave, was incredibly unpopular in some parts of India.;;;;;;;;;;;;x,,
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,
sharia_law;Sharia Law;;;;;;;;;;;;x,,,,
sharia_law_desc;Sharia is the strict moral code and religious law of Islam, considered the infallible law of God-- interpreted by Islamic judges who have responsibilities to religious leaders.;;;;;;;;;;;;x,,,
shastar_vidya;Shastar Vidiya;;;;;;;;;;;;;x,,,,
shastar_vidya_desc;The renowned Sikh fighting style, it is a martial art involving sword play ...and has made the Sikhs into fearsome combatants.;;;;;;;;;;;;;x,,,
slavery_timer;Slavery;;;;;;;;;;;;;x,,,,
slavery_timer_desc;Slavery in our nation continues on, making our country a bit less attractive as the world moves on.;;;;;;;;;;;;;x,,,
slavery_timer_title;Continued Slavery;;;;;;;;;;;;;x,,,,
slow_down_progress;Reform Restrictions;;;;;;;;;;;;x,,,,
slow_down_progress_desc;Perhaps it is best if we apply brakes to the rate of reforms. We must allow our people to catch up!;;;;;;;;;;;;x,,,,
small_country_draft;Emergency Draft;;;;;;;;;;;;x,,,,
small_country_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;x,,,,
