;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTDESC18230;Members of the ruling party have been busy within the $COUNTRY_ADJ$ government, slowly changing small rules that would make it difficult for opposition parties to get recognized and elected. Political boundaries have been shifted, and in some cases members of the opposition have even been harassed. Now it seems a bill has been put before the government which would entrench a large number of these rules, making them permanent. The government is adamant, saying the rules are needed to keep stability in $COUNTRY$, though the bill will no doubt be incredibly unpopular among the liberals.;;;;;;;;;;;;x,,,,,
EVTNAME18501;The $COUNTRY_ADJ$ Way;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18501;Ours is a nation of equality, where no man is placed above another in importance. Everyone strives for the betterment of all. A recent report in a $CAPITAL$ newspaper regarding the arrest of a wealthy but criminal industrialist has served not to outrage the $COUNTRY_ADJ$ people, but rather to reinforce their ideals. Today our people walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18505;$COUNTRY_ADJ$ Ingenuity;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18506;Ours is a nation of liberty, where every man is born with the inherent right to seek his own destiny. The possibility of prosperity lies within every man's reach. A recent report in a $CAPITAL$ newspaper regarding the acquittal of a man popularly believed to be innocent has served to reinforce our peoples' ideals. Today they walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME18507;The Price of Freedom;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18507;It has been often said that the $COUNTRY_ADJ$ people are accustomed to freedom-- they strive for it, hold it as the greatest of ideals. So it is that they chafe under the yoke of what they see as the government's tyranny. A recent demonstration in one of our cities threatens to spread throughout the state. With the eyes of the world upon us, however, forcefully putting an end to this act of civil disobedience will no doubt be seen as an attack upon our own citizens.;;;;;;;;;;;;x,,,,,,,
EVTNAME18510;Military Parade;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18510;In the eyes of our soldiers as they parade through the streets, nothing can be seen but utmost devotion to $COUNTRYNAME$ and the ideals for which our nation stands. These men, and the description fits them, have been fostered since childhood into rigid and firm belief in our nation, and they would die to defend it. Long live $COUNTRY$!;;;;;;;;;;;;x,,,,,,
EVTDESC18511;Ours is a nation of might, where a man's strength determines his success and everyone knows very well how superior we are to our neighbours. None can hope to compare to $COUNTRY$ on our best day. A recent report in a $CAPITAL$ newspaper regarding the execution of a foreigner believed to have been engaged in criminal activities on $COUNTRY_ADJ$ soil has served to reinforce our peoples' beliefs. Today they walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME18515;Send in the Troops;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18515;Matters in $COUNTRY$ are getting out of hand. Acts of violence are becoming more commonplace, and some claim that revolution is in the air. Many citizens in $CAPITAL$ are calling on the government to take stronger measures. Sending our army to deal with the violence will, however, only bring the attention of the world upon us. Perhaps this is a time to prove that $COUNTRY$ can deal with its affairs in the way we always have-- with civility.;;;;;;;;;;;;x,,,,,,,
EVTDESC18517;Ours is a nation of order, where peace and civility rule the day. Everyone strives for the common good, and for the progress of our nation as a whole. A recent report in a $CAPITAL$ newspaper regarding the arrest of a prominent criminal figure who had previously eluded authorities has not outraged the people, but rather has served to reinforce their beliefs. Today the people of $COUNTRY$ walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,
EVTNAME18521;Brotherhood of Man;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18521;A celebration in $CAPITAL$ took place this month, a sombre affair following the death of a prominent politician. This was a celebration of the $COUNTRY_ADJ$ way: peace, brotherhood and fraternity. Such were the virtues this man believed in, and it is a belief shared by all the $COUNTRY_ADJ$ people.;;;;;;;;;;;;x,,,,,,,
EVTNAME18525;Liberty Shines;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18525;A celebration in $CAPITAL$ took place this month, a sombre affair following the death of a prominent politician. This was a celebration of the $COUNTRY_ADJ$ way: freedom, liberty and the pursuit of happiness. Such were the virtues in which this man believed, and it is a belief shared by all the $COUNTRY_ADJ$ people.;;;;;;;;;;;;x,,,,,,,
EVTNAME18530;The $COUNTRY_ADJ$ Destiny;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18531;A recent dispute with one of our neighbours has had an electrifying effect upon the people of $COUNTRY$: 'How can they be allowed to treat us this way?', they ask. Some are calling for war, while others are satisfied with the knowledge that our nation has already come out on top.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18535;Onward to Tomorrow;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18535;A celebration in $CAPITAL$ took place this month, a sombre affair following the death of a prominent politician. This was a celebration of the $COUNTRY_ADJ$ way: order, industry and productivity. Such were the virtues in which this man believed, and it is a belief shared by all the $COUNTRY_ADJ$ people.;;;;;;;;;;;;x,,,,,,,
EVTNAME18540;Charting the Course of $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18540;Now that we have embraced westernization, we must choose the path that $COUNTRY$'s people will take in the years to come. What civilized ideal will we hold to?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME18550;Rejecting Westernization;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18550;Our people have attempted to embrace the ideals of westernization for a long time, but now there is a growing movement to return to the traditional $COUNTRY_ADJ$ way of life. It falls to the nation's leaders to set the example: should we embrace the ideal of tradition once again, or should westernization remain our goal despite our continuing isolation?;;;;;;;;;;;;x,,,,,,,,
EVTNAME18551;Embracing Westernization;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18551;Our people have held to our traditions for a very long time. After many years of exposure to the western nations, however, a growing movement has begun to change the $COUNTRY_ADJ$ way of life. Intellectuals in $CAPITAL$ say the government should lead the people into an era of progress and not remain mired in our backward ways. Shall we throw these fools into prison, or consider what they have to say?;;;;;;;;;;;;x,,,,,,,
EVTNAME18555;Clash of Ideals;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18555;$COUNTRY_ADJ$ intellectuals have clashed with members of the aristocracy in $CAPITAL$. The aristocracy has accused the intellectual elite of attempting to cast aside the $COUNTRY_ADJ$ way of life, while the intellectuals say that progress is necessary if $COUNTRY$ is to have any chance against western imperialist powers. The argument of the intellectuals is convincing, but this has not calmed matters in the streets.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18556;New Ideas;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18556;$COUNTRY_ADJ$ intellectuals have brought several new ideas before the court, ideas that could advance our research considerably. They are also quite contentious, however, and a rejection of the intellectuals could do much to soothe the aristocracy.;;;;;;;;;;;;x,,,,,,,
EVTNAME18560;Annals of the Past;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18560;The peasants are taking to the streets, rising up against their rulers in ways that would have been unthinkable only decades ago. Perhaps it is time to remind them of their duty to their nation, and of the traditions which have served $COUNTRY$ so well in ages past?;;;;;;;;;;;;x,,,,,,,,
EVTNAME18561;Celebration in $CAPITAL$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18561;A great celebration has been held in $CAPITAL$ in honor of $COUNTRY$'s rulers, as well as its centuries of honorable tradition. Massive crowds appeared to cheer on our soldiers, and the spectacle has even drawn the attention of foreigners. Shall we dedicate the celebration to $COUNTRY$'s greatness, or shall we instead use it as an excuse to appease the masses?;;;;;;;;;;;;x,,,,,,,
EVTNAME18562;The Fight Against Progress;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18562;$COUNTRY_ADJ$ reactionaries have begun heated debates in one of our states, arguing that $COUNTRY$ should not be slavishly seeking to chase after 'civilized' nations-- indeed, that already $COUNTRY$ has gone too far down the path of degradation and that the $COUNTRY_ADJ$ people suffer for it. They are calling on the government to repeal reforms, or at the very least to slow down the rapid pace of change... and they are gaining a wide audience.;;;;;;;;;;;;x,,,,,,,
EVTNAME18565;A Return to Western Influence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18565;$COUNTRY$ is a nation of progress, and our current period of insulation against the western powers runs contrary to that ideal. Shall we call on the borders to be opened once again? It might anger some of our people, but the flow of goods and ideas is invaluable to our prosperity.;;;;;;;;;;;;x,,,,,,,,
EVTNAME18571;Rejecting the West?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC18571;We never wanted this contact with the westerners. They bring too many problems into our country, and their influence spreads like an insidious disease. Many in the $COUNTRY_ADJ$ court are calling for the borders to be closed once again, for us to display to these imperialists that they cannot simply strut about our nation as if they own it. A display of force is necessary!;;;;;;;;;;;;x,,,,,,,,
EVTDESC19007;Tensions between ourselves and other Great Powers have erupted regarding dominance over the $FROMCOUNTRY_ADJ$ government. We are forced into a position where we must either assert our position, which will be seen as undercutting $FROMCOUNTRY$'s independence, or back down and lose much of the influence in $FROMCOUNTRY$ we currently hold.;;;;;;;;;;;;x,,,,,,,,
EVTNAME19040;Excavation Rights Requested;Droits de fouille requis;Ausgrabungsrechte beantragt;;Solicitud de derechos de excavación;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19040;$FROMCOUNTRY$ has requested excavation rights in the Valley of The Kings. While we ourselves do not have the know how or money to fund a serious excavation of the area, and allowing a foreign contractor might be good for that reason, it might also be best to let the secrets of our proud nation's history lie undisturbed until such a time when we ourselves can find them. Turning down a foreign power will spoil our relations, though.;;;;;;;;;x;;;;,,,,,,,
EVTOPTA19040;Go for it!;Allez-y !;Ausgrabungen genehmigen!;;¡Adelante con ello!;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTB19040;The Valley is Ours;La vallée est à nous !;Das Tal gehört uns!;;El valle es nuestro;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19041;Egypt Grants Excavation Permit;L'Égypte accorde un permis de fouille;Ägypten gewährt Ausgrabungsrechte;;Egipto concede el permiso de excavación;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19041;The government of Egypt has granted us the exclusive right to excavate and investigate ancient ruins in the Valley of The Kings. The potential discoveries there will prove an enormous opportunity for us to increase our scientific renown in the world.;Le gouvernement égyptien nous a accordé le droit exclusif de fouiller d'anciennes ruines de la vallée des rois. Les découvertes que nous pourrons y faire représenteront pour nous une belle occasion d'accroître notre renommé scientifique dans le monde.;Die Regierung Ägyptens hat uns die exklusiven Rechte gewährt, Ausgrabungen im Tal der Könige durchzuführen und die uralten Ruinen zu untersuchen. Die potentiellen Entdeckungen dort stellen für uns eine fantastische Gelegenheit dar, unser wissenschaftliches Renommee zu steigern.;;El gobierno de Egipto nos ha concedido el derecho exclusivo a excavar e investigar las antiguas ruinas del Valle de los Reyes. Los potenciales descubrimientos que se puedan realizar allí resultarán una oportunidad enorme para nosotros de incrementar nuestro renombre científico en el mundo.;;;;;;;;;x;;;;,,,,,,,,
EVTOPTA19041;Excellent!;Parfait !;Hervorragend!;;¡Excelente!;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19042;Egypt Refuses Excavation Permit;L'Égypte refuse un permis de fouille;Ägypten verweigert Ausgrabungsrechte;;Egipto deniega el permiso de excavación;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19042;The government of Egypt has refused to allow us excavation rights in The Valley of The Kings. Our international prestige has been lowered as a result, and relations with Egypt have soured.;Le gouvernement égyptien nous a refusé le droit de fouiller la vallée des rois. Résultat, notre prestige international a été réduit et les relations avec l'Égypte en ont pâti.;Die ägyptische Regierung hat uns die Ausgrabungsrechte für das Tal der Könige verweigert. Dies hat unserem internationalen Prestige geschadet und unsere Beziehungen zu Ägypten haben sich verschlechtert.;;El gobierno de Egipto nos ha negado el derecho a excavar en el Valle de los Reyes. Como resultado, nuestro prestigio internacional se ha visto mermado, y se han enfriado las relaciones con Egipto.;;;;;;;;;x;;;;,,,,,,
EVTOPTA19042;Bah!;Bah !;Pfft!;;¡Bah!;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19043;Bribing Officials;Corruption de fonctionnaires;Bestechung von Offiziellen;;Soborno de funcionarios;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19043;Egyptian officials in Alexandria have refused our Egyptian Expedition to unload vital excavation equipment in the Alexandrian port. The Egyptian customs system is a byzantine construction which is nigh on impossible to penetrate without personal pull or money. We could put pressure on the Egyptian government over the issue, but it might be best if the expedition simply bribes its way through Egypt.;Les officiels égyptiens d'Alexandrie, ont refusé à notre expédition d'Egypte de décharger l'équipement vital d'excavation dans le port de la ville. Le système douanier égyptien est de conception byzantine ou il est quasiment impossible de pénétrer sans appuis personnels ou sans argent. Nous pourrions faire pression sur le gouvernement égyptien sur cette question, mais il pourrait être meilleur si l'expédition payait des pots de vin tout simplement sur son chemin à travers l'Egypte. ;Ägyptische Offizielle in Alexandria haben unserer Ägypten-Expedition verweigert, im Hafen von Alexandria wichtige Ausrüstungsgegenstände für unsere Ausgrabungen zu entladen. Das ägyptische Zollsystem ist eine byzantinische Konstruktion. Mit anderen Worten: Ohne Bestechungen kommt man so gut wie gar nicht weiter. Wir könnten die ägyptische Regierung deswegen unter Druck setzen, aber es wäre wohl besser, wenn sich die Expeditionen einfach mit Bestechungen ihren Weg durch Ägypten freimacht.;;Funcionarios egipcios en Alejandría no han permitido que nuestra expedición en Egipto pueda descargar equipo vital para la excavación en el puerto alejandrino. El sistema aduanero egipcio es una estructura obsoleta casi imposible de atravesar sin influencias o sin dinero. Podríamos presionar al gobierno egipcio sobre el asunto, pero podría ser mejor que la expedición se abriera paso por Egipto a base de sobornos.;;;;;;;;;x;;;;,,,
EVTOPTA19043;Bribes are the way forward;Corruption en cours;Bestechungsgelder sind unterwegs.;;Los sobornos son la solución;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTB19043;Pressure the government;Pression sur le gouvernement;Regierung unter Druck setzen.;;Presionemos al gobierno;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19044;Egyptian Tomb Discovered!;Découverte d'un tombeau égyptien !;Ägyptisches Grab entdeckt!;;¡Descubierta tumba egipcia!;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19044;Our archeological excavation team working in the Valley of The Kings in Egypt has discovered a tomb from the Eighteenth Dynasty. The tomb is rectangular, and divided into upper and lower pillared sections, with a royal sarcophagus located in the lower section. This fantastic discovery has made our Egyptological department the talk of the historically aware Europe!;Notre équipe de fouilles archéologiques qui travaille dans la vallée des rois en Egypte a découverte une tombe de la dix-huitième dynastie. Le tombeau est rectangulaire, et il est divisé en sections à colonnes, avec un sarcophage royal situé dans la partie inférieure. Cette fantastique découverte a fait que notre département égyptologique a défrayé la chronique de la conscience historique en Europe !;Unsere archäologische Ausgrabung im Tal der Könige in Ägypten hat ein Grab der achtzehnten Dynastie freigelegt. Das Grab ist rechteckig, und in einen oberen und unteren, von Säulen getragenen Bereich unterteilt. Der königliche Sarkophag befindet sich im unteren Bereich. Diese fantastische Entdeckung hat unsere Ägypten-Abteilung zum Gespräch des gesamten historisch interessierten Europas gemacht!;;Nuestro equipo de excavación arqueológica que trabaja en el Valle de los Reyes, en Egipto, ha descubierto una tumba de la Decimoctava Dinastía. La tumba es rectangular , y está dividida en una sección superior y otra inferior sostenidas con pilares, con un sarcófago real situado en la sección inferior. ¡Este fantástico descubrimiento ha hecho que nuestro departamento egiptológico esté en boca de toda la erudición histórica de Europa!;;;;;;;;;x;;;;
EVTOPTA19044;Fantastic!;Fantastique !;Fantastisch!;;¡Fantástico!;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19045;Curse of The Pharaohs!;La malédiction des pharaons !;Der Fluch der Pharaonen!;;¡La maldición de los faraones!;;;;;;;;;x;;;;,,,,,,,,,,
EVTDESC19045;How it started, we do not know, but what we do know is that what was once a rumor has now become public wisdom. The rumor that has grown from breeze to storm is that a curse befalls anyone who disturbs the Tombs of the Pharaohs in the Valley of The Kings, and some even claim that our excavation team threatens to draw down the curse on all of $COUNTRY$. It is a hysterical rumor, of course, but the hysteria is there nevertheless.;;;;;;;;;;x;,,,,,
EVTOPTA19045;What next? Comet sighted?;Et maintenant ? Comète en vue ?;Was kommt als nächstes? Die Sichtung eines Kometen?;;¿Qué será lo próximo? ¿Avistar un cometa?;;;;;;;;;x;;;;,,,,,,,,,,
EVTNAME19046;Tutankhamun's Tomb;Le tombeau de Toutânkhamon;Tutanchamuns Grab;;La tumba de Tutankamón;;;;;;;;;x;;;;,,,,,,,,,,
