#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
albania_in_yugoslavia_title;Incorporate Albania into Yugslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
anglo_japanese_alliance_desc;With mutual enemies among the Great Powers, perhaps it is best if the British Empire and our nation work together.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
anglo_japanese_alliance_title;The Anglo-Japanese Alliance;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_easter_island_desc;The native population of Easter Island has suffered many devastations in recent years, from attacks by Peruvian pirates to a tuberculosis epidemic. A colonist has operated a sheep ranch there for some years, and recently offered to sell to our government. Considering his ranch covers a large portion of the island, we would be well within our rights to claim sovereignty over it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
annex_easter_island_title;Annex Easter Island;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_fiji_desc;With Australian settlers having puchased land on the island of Fiji, they have slowly become insinuated within the court of King Cakobau. So it is that recently, when the king's lavish overspending saddled his kingdom with considerable debt, the settlers offered to negotiate terms by which the British government would pay off the debt and annex the island as a new colony.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
annex_fiji_title;Annex Fiji;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_former_AUS_lands_desc;Since Banat and Transylvania joined the German state they have been cut off by the autonomous regions, perhaps we should re-integrate them?;;;;;;;;;;;;;x
annex_former_AUS_lands_title;Integrating the Autonomous Regions;;;;;;;;;;;;;x
annex_hawaii_desc;Our relationship with the Hawaiian government has borne fruit. They have asked to become a part of our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_hawaii_title;Annex Hawaii;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_korea_desc;Preserving the independence of Korea is too costly. If the 'line of advantage' is to be maintained, we must push our borders well beyond their current sphere. Korea must be turned into a protectorate of the Empire, for its own good as well as ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
annex_korea_title;Annex Korea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_lan_na_desc;The Kingdom of Lan Na must unite with Siam, for the benefit of both our nations in resisting imperialist control.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
annex_lan_na_title;Annex Lan Na;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
annex_mayotte_desc;The ruler of the small island of Maore, which French traders have dubbed 'Mayotte', is a primitive sultan who only broke away from Malagasy rule in recent years. He has petitioned the French government for status as a protectorate, clearly preferring civilized rule to those of his neighbors.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
annex_mayotte_title;Annex Mayotte;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annex_new_caledonia_desc;There is some interest within the French government of creating a penal colony-- somewhere that enemies of the monarchy could be sent, allowing them to be far away from the continent where they can do no harm. Admiral Febvrier Despointes reports that the island of New Caledonia, off the coast of Australia, might do just the trick. Considering the British have used Australia for the same purpose, who could object to us doing similarly?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
annex_new_caledonia_title;Annex New Caledonia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
annexation_of_cambodia_desc;Now that the powerful nations of the west have recognized our power and see us as equals, we should annex our Cambodian puppet government.;;;;;;;;;;;;;x
annexation_of_cambodia_title;Annexation of Cambodia;;;;;;;;;;;;;x
ansei_purge_desc;After the recent succession crisis of the shogunate, there are too many opposing factions within the bakufu. We must take steps to ensure these men are retired, forcefully or otherwise, lest they continue to stir up problems in the name of the Emperor.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
ansei_purge_title;The Ansei Purge;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appeal_to_the_british_desc;Though we are loath to do so, it appears we are left with little choice: we must appeal to the Dutch for protection, lest we fall under foreign rule and lose what little we have left.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
appeal_to_the_british_title;Appeal to the Dutch;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
apply_sharia_law_desc;Ours is a nation based on fundamental religious rule. Thus it is incumbent that Sharia law be applied to its fullest extent-- in the interest of keeping peace and order.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
apply_sharia_law_title;Apply Sharia Law;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
appoint_von_bismarck_desc;Our naton needs a great statesman as its Chancellor, and we have just the man. Otto von Bismarck is currently the country's First Minister, but appointed as the leader of our nation he could see it transformed on the world stage.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
appoint_von_bismarck_title;Appoint Otto von Bismarck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
argentina_chile_border_treaty_desc;Now that the lands of Araucania and Patagonia are fully settled, it might be prudent for us to approach the Loncanos and see if we cannot agree on a border-- they would get the lands west of the Andes and we the lands to the east. If we cannot come to an agreement, there is likely to be war.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
argentina_chile_border_treaty_title;Argentina-Lonca Border Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
assyrian_empire_desc;The Assyrians have regained our power, now we will show the world what true fear means once again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
assyrian_empire_title;Assyrian Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
austria_annex_SGF_desc;With the great empire of the Habsburgs now lost to us, perhaps it is time to look north towards the unification of Germany. First, however, we must bring the South German Confederation under our own leadership.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
austria_annex_SGF_title;Inherit the South German Confederation;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation2_desc;While Germany was not united until the proclamation of the German Empire, following the Franco-Prussian war, rising nationalism in the 19th century had meant that unification had been on the cards long before that, with the Frankfurt assembly of 1848 being an important forerunner. By achieving a dominant position among the South German states, we can form the South German Confederation.;Il fallut attendre la proclamation de l'Empire allemand qui suivit la guerre franco-allemande pour assister ‡ l'unification de l'Allemagne. Pourtant, avec la montÈe du nationalisme au XIXe siËcle, l'unification aurait ÈtÈ possible bien avant cela, comme en tÈmoigne l'assemblÈe de Francfort de 1848. En nous imposant dans les …tats du sud, nous formerons les …tats du sud de l'Allemagne.;Obwohl Deutschland bis zur Proklamation des Deutschen Kaiserreichs nach dem deutsch-franzˆsischen Krieg nicht geeint war, bedeutete der steigende Nationalismus des neunzehnten Jahrhunderts, dass eine Vereinigung schon seit langer Zeit geplant war. Ein wichtiges vorbereitendes Ereignis war die Frankfurter Nationalversammlung von 1848. Wenn wir uns eine dominierende Position unter den norddeutschen Staaten erarbeiten, kˆnnen wir den S¸ddeutschen Bund gr¸nden.;;Aunque Alemania no estuvo unida hasta la proclamaciÛn del Imperio Alem·n, tras la guerra franco-prusiana, el nacionalismo emergente del siglo XIX puso de relieve que la unificaciÛn era inevitable. La asamblea de Frankfurt de 1848 supuso un importante precedente. Al alcanzar una posiciÛn dominante entre los estados germanos meridionales, podemos formar la ConfederaciÛn de Alemania del Sur.;;;;;;;;;x;;,,,,,,,,
austrian_form_south_german_confederation2_title;Become the South German Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation_desc;With our dominant position over the south German states, we can create the South German Confederation-- a union that would be under our full control, and a more useful ally than the nations separately.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
austrian_form_south_german_confederation_title;Create the South German Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
balkan_assimilation_program;The Balkan Assimilation Program blank;;;;;;;;;;;;;x
balkan_assimilation_program_desc;The institution of this assimilation program has been discussed by the leaders of our nation before, and now is a perfect time to properly bring people to Turkishness and honor. This will, of course, create unrest throughout our nation and cause the international community to look down upon us.;;;;;;;;;;;;;x
balkan_assimilation_program_setup;The Balkan Assimilation Program setup;;;;;;;;;;;;;x
balkan_assimilation_program_short;The Balkan Assimilation Program short;;;;;;;;;;;;;x
balkan_assimilation_program_title;The Balkan Assimilation Program;;;;;;;;;;;;;x
banda_oriental_desc;The Banda Oriental del Uruguay was argentinean once, and shall be argentinean again!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
banda_oriental_title;Banda Oriental;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_austria_desc;The time has come to end the dual monarchy and return to our Austrian heritage.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_austria_title;Become Austria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_biafra_desc;We've unified our people and now we have the perfect opportunity to restate our position to the Europeans.;;;;;;;;;;;;;x
become_biafra_title;Become Biafra;;;;;;;;;;;;;x
become_hausaland_desc;The hausa have come to increasingly dominate the Caliphate and its court, and it is time Sokoto reflected that fact.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_hausaland_title;Become Hausaland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_holstein_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Holstein is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_holstein_title;Become Holstein;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_hungary_desc;With the loss of Vienna, the Austro-Hungarian government must flee to Budapest instead. The Hungarians will not, however, continue with the arrangement of the Dual Monarchy-- not when what is left of Austria has been lost. The Hungarians will instead become the new power in our union, taking over what remains of our Empire and ruling in our name.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
become_hungary_title;Flee to Budapest;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_japan_desc;With the embracing of Western ideas and authority slowly falling away from the shogunate, the government will naturally pass first to the imperial court-- and eventually, with the extension of voting privileges to the landowners, to the Japanese people themselves. This is a natural process, and one the Tokugawa must embrace for the good of Japan.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
become_japan_title;Bunmei Kaika;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_kitara_desc;Our dominant position in the Great Lakes region gives us claim on the ancient Empire of Kitara.;;;;;;;;;;;;;x
become_kitara_title;Reform Kitara;;;;;;;;;;;;;x
become_kyrgyzstan_desc;We must unite the Kyrgyz into a single and modern state, with sovereignty over all our ancestral land. Under Kyrgyz leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
become_kyrgyzstan_title;Become Kyrgyzstan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_beiyang_desc;With control over Beijing, we may assume leadership over the Beiyang government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_leader_of_beiyang_title;Leader of the Beiyang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_communists_desc;With control over Beijing, we may assume leadership over the government and gain international recognition as the true rulers of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_leader_of_communists_title;Leader of the Chinese Communists;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_kuomintang_desc;It falls to us to take the mantle of Kuomintang leadership. Victory for Nationalist China!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_leader_of_kuomintang_title;Leader of the Kuomintang;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_mali_empire_desc;The Mali Empire was once one of the greatest kingdoms in all of Africa. Under the ancient flag we can unite the peoples of the western Sahel, and challenge the might even of the Europeans!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_mali_empire_title;Restore the Mali Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_poland_desc;Poland must be reborn! With Warsaw back in our hands, we must take the first step towards uniting all Polish people under a common flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_poland_title;Jeszcze Polska nie Zginela;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_saudi_arabia_desc;We must reunite Nejd and Hedjaz under a single flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_saudi_arabia_title;Become Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_schleswig_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Schleswig is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_schleswig_title;Become Schleswig;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_toucouleur_desc;The Jihad must continue! With the cities of the central deserts under our control, now is the time to found a united empire that will resist the coming onslaught of the colonial powers!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_toucouleur_title;Found the Toucouleur Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_bukkhara_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_khiva_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_khiva_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_yemen_desc;Northern and Southern Yemeni must be united under a single flag-- ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_yemen_title;Become Yemen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
begin_crimean_war_desc;The Ottoman breach of our treaty protecting eastern Christians in the Levant cannot be abided. We must act, or face the loss of both prestige and the confidence of Orthodox Russians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
begin_crimean_war_title;We Must Act;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
begin_hungarian_revolution_desc;We must strike a blow against the Hapsburg monarchy, in the name of Hungarian independence!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
begin_hungarian_revolution_title;Begin the Revolution!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
begin_line_of_advantage_desc;The concept of riekisen, or the 'line of advantage', means that we must extend Japanese influence beyond our national borders in order to ensure our security. This means turning all of the Japanese military, and indeed our people, to the notion of foreign conquest and glory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
begin_line_of_advantage_title;The Line of Advantage;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
begin_zemene_mesafint_desc;With the 'Age of Princes' upon us, we must gather all our forces to unite Ethiopia once again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
begin_zemene_mesafint_title;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
beiyang_faction;Beiyang Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
belize_purchase_desc;We are interested in purchasing Belize from Great Britain and integrating it into the United States of Central America. As such, we have have sent delegates overseas to London and are currently awaiting a reply.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
belize_purchase_title;Belize Purchase;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
boer_government_desc;The Steenkoolers currently outnumber the Dutch settlers in South Africa, our best course of action would be to accept their majority rule if we're to have any chance in this hostile scrap of land.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
boer_government_title;The Steenkooler Majority;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
boer_republic_desc;We have established a new nation, dominated by the Vorausers and carved from the territory of African natives. This is a new opportunity for us to live outside of Dutch rule, now and forever.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
boer_republic_title;The Steenkooler Republic;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
bonin_administration_desc;Japan now controls the archipelago, and our modern administration will get rid of Gaijin names and change them accordingly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
bonin_administration_title;Japanese Bonin;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
bosnian_annexation_desc;The government feels it is vital to bring Bosnia more fully under our administration, despite the international furore it might cause.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
bosnian_annexation_title;Annex Bosnia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
build_addis_ababa_desc;Founded in 1886 by Emperor Menelik II, Addis Ababa would become the capital of Ethiopia and the site of the Imperial Palace.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
build_addis_ababa_title;Build Addis Ababa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
canadian_blobmode_desc;The current regime demands that Canada's borders be extended and who would we be to say no?;;;;;;;;;;;;;x,,,
canadian_blobmode_title;Greater Canada;;;;;;;;;;;;;x,,,
centralizer_act_huayna_capac_desc;As the central government grows stronger, the Confederation becomes more and more an unitary state. The 'Centralizer Act Huayna Capac' concentrates even more power in the president and creates the United Republic of Peru-Bolivia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
centralizer_act_huayna_capac_title;Acto Centralizador 'Huayna Capac';;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
change_national_value_off_desc;Turn off the function to change the National Value.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
change_national_value_off_title;Change National Value (Inactive);;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
change_national_value_on_desc;Turn on the function to change the National Value.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
change_national_value_on_title;Change National Value (Active);;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
chuang_guangdong_desc;Literally 'Crashing into Guandong', this was the a policy brought into place by the Qin government which brought down the barrier to non-Manchu settlement in the northeastern frontier. With the loss of Outer Manchuria, it is vital that the frontier be populated by settlers to prevent further expansion into Chinese territory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
chuang_guangdong_title;Chuang Guandong;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_ASR_desc;We must claim the rest of the peninsula if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_ASR_title;Claim Northern Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_HDJ_desc;We must claim the eastern lands in Nejd and Hail if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_HDJ_title;Claim Eastern Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabian_peninsula_desc;We must unite all of the Arabian peninsula under our rule, including all of the Trucial States, Oman, and Yemen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
claim_arabian_peninsula_title;Claim Greater Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_austrian_silesia_desc;The provinces of Bielsko and Tesin are rightfully Czech lands, having once belonged to Bohemia. We must reclaim them as our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_austrian_silesia_title;Claim Silesia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_bulgarian_lands_desc;The Great Powers have denied Bulgaria her destiny, that of ruling all Bulgarian peoples. Let us defy them, and forge the greater Bulgaria we deserve!;;;;;;;;;;;;;x,
claim_bulgarian_lands_title;Reclamation of Bulgarian Lands;;;;;;;;;;;;;x,,,
claim_croatian_lands_desc;Bosnia was once an integral part of the Croatian Kingdom, and even today our ethnic legacy carries on throughout Bosnia, now that we have our sovereignty it is time for us to reclaim the region.;;;;;;;;;;;;;x,
claim_croatian_lands_title;Reclaiming Bosnia;;;;;;;;;;;;;x,,,
