#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"
LOM		= "countries/Lombardia.txt"
LUC		= "countries/Lucca.txt"
MLT		= "countries/Malta.txt"
MOD		= "countries/Modena.txt"
NPL		= "countries/Naples.txt"
PAP		= "countries/Papal States.txt"
PAR		= "countries/Parma.txt"
PDN		= "countries/Padan Union.txt"
RMG		= "countries/Romagna.txt"
SIC		= "countries/Sicily.txt"
SRD		= "countries/Sardinia.txt"
TRE		= "countries/Trieste.txt"
TUS		= "countries/Tuscany.txt"
VEN		= "countries/Venice.txt"

# Germany
AUS		= "countries/Austria.txt"
BAD		= "countries/Baden.txt"
BAV		= "countries/Bavaria.txt"
BRA		= "countries/Braunschweig.txt"
BRC		= "countries/Braunschweig Union.txt"
BRE		= "countries/Bremen.txt"
BRN		= "countries/Brandenburg.txt"
FRM		= "countries/Frankfurt am Main.txt"
HAM		= "countries/Hamburg.txt"
HAN		= "countries/Hanover.txt"
HEK		= "countries/Hesse-Kassel.txt"
HOL		= "countries/Holstein.txt"
LUB		= "countries/Lubeck.txt"
LUX		= "countries/Luxemburg.txt"
LUZ		= "countries/Luzica.txt"
MEC		= "countries/Mecklenburg.txt"
MEI		= "countries/Saxe-Meiningen.txt"
MNR		= "countries/Munster.txt"
MNZ		= "countries/Mainz.txt"
NAS		= "countries/Nassau.txt"
NGF		= "countries/North German Fed.txt"
OLD		= "countries/Oldenburg.txt"
PML		= "countries/Pomerelia.txt"
POM		= "countries/Pomerania.txt"
RHI		= "countries/Rhineland.txt"
SAX		= "countries/Saxony.txt"
SCH		= "countries/Schleswig.txt"
SGF		= "countries/South German Fed.txt"
THU		= "countries/Thuringia.txt"
TRR		= "countries/Trier.txt"
WES		= "countries/Westfalen.txt"
WUR		= "countries/Wurttemberg.txt"

#Russia - see also the Middle East below for some more, like Kazakh
AKH		= "countries/Astrakhan.txt"
ALT		= "countries/Altai Republic.txt"
DON		= "countries/Cossackia.txt"
IZH		= "countries/Ingria.txt"
KAZ 	= "countries/Kazakhstan.txt"
KAM 	= "countries/Kamchatka.txt"
KMK		= "countries/Kalmykia.txt"
KRL		= "countries/Karelia.txt"
SIB		= "countries/Siberian Republic.txt"
SML		= "countries/Smolensk.txt"
TAR 	= "countries/Tatarstan.txt"
TNT		= "countries/Tannu Tuva.txt"
URA 	= "countries/Ural Republic.txt"
VIT		= "countries/Vitebsk.txt"
YAK 	= "countries/Yakutia.txt"
YKT		= "countries/Yakuts.txt"

#Middle East
ARA		= "countries/Arabia.txt"
ABU		= "countries/Abu Dhabi.txt"
AFG		= "countries/Afghanistan.txt"
ARM		= "countries/Armenia.txt"
ARU		= "countries/Arab Union.txt"
ASR		= "countries/Asir.txt"
ASY		= "countries/Assyria.txt"
AZB		= "countries/Azerbaijan.txt"
BAB		= "countries/Babylonia.txt"
BHR		= "countries/Bahrain.txt"
BUK		= "countries/Bukkhara.txt"
CIR		= "countries/Circassia.txt"
CLC		= "countries/Cilicia.txt"
DAG		= "countries/Dagestan.txt"
DUR		= "countries/Durrani Empire.txt"
GEO		= "countries/Georgia.txt"
HAL		= "countries/Hail.txt"
HDJ		= "countries/Hedjaz.txt"
IRQ		= "countries/Iraq.txt"
ISR		= "countries/Israel.txt"
JER		= "countries/Jerusalem.txt"
JOR		= "countries/Jordan.txt"
KDS		= "countries/Kurdistan.txt"
KHI		= "countries/Khiva.txt"
KOK		= "countries/Kokand.txt"
KWT		= "countries/Kuwait.txt"
KYR		= "countries/Kyrgyzstan.txt"
KZH		= "countries/Kazakh.txt"
LBN		= "countries/Lebanon.txt"
MHR		= "countries/Mahra.txt"
NEJ		= "countries/Nejd.txt"
OMA		= "countries/Oman.txt"
PER		= "countries/Persia.txt"
PLS		= "countries/Palestine.txt"
SYR		= "countries/Syria.txt"
TAJ		= "countries/Tajikstan.txt"
TCA		= "countries/Transcaucasia.txt"
TKM		= "countries/Turkmenistan.txt"
TKS		= "countries/Turkestan.txt"
UYG		= "countries/Uyghurstan.txt"
UZB		= "countries/Uzbekistan.txt"
YEM		= "countries/Yemen.txt"

# India
HND 	= "countries/India.txt"
AGR		= "countries/Agra.txt"
ASM		= "countries/Assam.txt"
BAS		= "countries/Bastar.txt"
BAH		= "countries/Bahawalpur.txt"
BER		= "countries/Beroda.txt"
BHO		= "countries/Bhopal.txt"
BIH		= "countries/Bihar.txt"
BIK		= "countries/Bikaner.txt"
BLC		= "countries/Baluchistan.txt"
BNG		= "countries/Bengal.txt"
BUN		= "countries/Bundelkhand.txt"
DRA		= "countries/Dravidistan.txt"
GWA		= "countries/Gwailor.txt"
HDU		= "countries/Hindustan.txt"
HYD		= "countries/Hyderabad.txt"
IND		= "countries/Indore.txt"
JAI		= "countries/Jaipur.txt"
JAS		= "countries/Jaisalmer.txt"
JOD		= "countries/Jodhpur.txt"
KAL		= "countries/Kalat.txt"
KAS		= "countries/Kashmir.txt"
KRN		= "countries/Karnatak.txt"
KUT		= "countries/Kutch.txt"
LAD		= "countries/Ladakh.txt"
MAH		= "countries/Maharashtra.txt"
MAK		= "countries/Makran.txt"
MEW		= "countries/Mewar.txt"
MLD		= "countries/Maldives.txt"
MRT		= "countries/Marathas.txt"
MYS		= "countries/Mysore.txt"
NAG		= "countries/Nagpur.txt"
NEP		= "countries/Nepal.txt"
ORI		= "countries/Orissa.txt"
PNJ		= "countries/Panjab.txt"
RAJ		= "countries/Rajputana.txt"
SHI		= "countries/Shimla.txt"
SIK		= "countries/Sikkim.txt"
SIN		= "countries/Sind.txt"
SRI		= "countries/Sri Lanka.txt"
TRA		= "countries/Travancore.txt"

#Africa
ADW		= "countries/Adamawa.txt"
AGC		= "countries/Angoche.txt"
ALD		= "countries/Aldjazair.txt"
ANG		= "countries/Angola.txt"
ANK 	= "countries/Ankole.txt"
ARO		= "countries/Aro.txt"
ASH		= "countries/Ashanti.txt"
AWS		= "countries/Awsa.txt"
AZA		= "countries/Azande.txt"
BAM		= "countries/Bamum.txt"
BEN		= "countries/Benin.txt"
BIA		= "countries/Biafra.txt"
BMK		= "countries/Bamako.txt"
BNY		= "countries/Bunyoro.txt"
BRD		= "countries/Urundi.txt"
BSH		= "countries/Basotho.txt"
BUG		= "countries/Buganda.txt"
CAR		= "countries/Central African Republic.txt"
CGO		= "countries/Congo-Brazzaville.txt"
CHD		= "countries/Chad.txt"
CLA		= "countries/Calabar.txt"
CMR		= "countries/Cameroon.txt"
CNG		= "countries/Congo Free State.txt"
CYR		= "countries/Cyrenaica.txt"
DAH		= "countries/Dahomey.txt"
DAM		= "countries/Damagaram.txt"
DAR		= "countries/Darfur.txt"
DND		= "countries/Dendi.txt"
DOS 		= "countries/Dosso.txt"
EGY		= "countries/Egypt.txt"
ETH		= "countries/Ethiopia.txt"
FDL		= "countries/Fadhli.txt"
GAB		= "countries/Gabon.txt"
GAZ		= "countries/Gaza.txt"
GBU		= "countries/Gabu.txt"
GEL		= "countries/Geledi.txt"
GMB		= "countries/Gambia.txt"
GNE		= "countries/Guinea.txt"
GON		= "countries/Gonder.txt"
GOS		= "countries/Gosen.txt"
HAR		= "countries/Harar.txt"
IVC		= "countries/Ivory Coast.txt"
JAL		= "countries/Jallon.txt"
KAF		= "countries/Kaffa.txt"
KBO		= "countries/Kanem-Bornu.txt"
KLO		= "countries/Kloterland.txt"
KNG		= "countries/Kong.txt"
KNY		= "countries/Kenya.txt"
KON		= "countries/Kongo.txt"
KTH		= "countries/Kathiri.txt"
KUB		= "countries/Kuba.txt"
KZB		= "countries/Kazembe.txt"
LBA		= "countries/Luba.txt"
LBY		= "countries/Libya.txt"
LHJ		= "countries/Lahej.txt"
LOA		= "countries/Loango.txt"
LUN		= "countries/Lunda.txt"
MAD		= "countries/Madagascar.txt"
MAJ		= "countries/Majeerteen.txt"
MAS		= "countries/Massina.txt"
MAT		= "countries/Matabele.txt"
MGH		= "countries/Maghreb.txt"
MLI		= "countries/Mali.txt"
MLW		= "countries/Malawi.txt"
MNG		= "countries/Mongo.txt"
MOR		= "countries/Morocco.txt"
MOS		= "countries/Mossi.txt"
MOZ		= "countries/Mozambique.txt"
NAL		= "countries/Natalia.txt"
NGR		= "countries/Nigeria.txt"
NIG		= "countries/Niger.txt"
ORA		= "countries/Oranje.txt"
OYO		= "countries/Oyo.txt"
RWA		= "countries/Ruanda.txt"
SAF		= "countries/South Africa.txt"
SEG		= "countries/Segu.txt"
SHL		= "countries/Shilluk.txt"
SHO		= "countries/Shona.txt"
SHW		= "countries/Shewa.txt"
SID		= "countries/Sidama.txt"
SLE		= "countries/Sierra Leone.txt"
SNG		= "countries/Senegal.txt"
SOK		= "countries/Sokoto.txt"
SOM		= "countries/Somalia.txt"
STE		= "countries/Stellaland.txt"
SUA		= "countries/Suazi.txt"
SUD		= "countries/Sudan.txt"
TIG		= "countries/Tigray.txt"
TNZ		= "countries/Tanzania.txt"
TOG		= "countries/Togo.txt"
TOO		= "countries/Tooro.txt"
TOU		= "countries/Toucouleur.txt"
TRI		= "countries/Tripoli.txt"
TRN		= "countries/Transvaal.txt"
TRZ		= "countries/Trarza.txt"
TSW		= "countries/Botswana.txt"
TUN		= "countries/Tunis.txt"
UGA		= "countries/Uganda.txt"
WAD		= "countries/Wadai.txt"
WOL		= "countries/Wolof.txt"
WRI		= "countries/Warri.txt"
WRS		= "countries/Warsangali.txt"
XHO		= "countries/Xhosa.txt"
ZAM		= "countries/Zambia.txt"
ZAN		= "countries/Zanzibar.txt"
ZUL		= "countries/Zulu.txt"

# Eastern Asia
ATJ		= "countries/Atjeh.txt"
BAL		= "countries/Bali.txt"
BHU		= "countries/Bhutan.txt"
BIM		= "countries/Bima.txt"
BRU		= "countries/Brunei.txt"
BUR		= "countries/Burma.txt"
CAM		= "countries/Cambodia.txt"
CHI		= "countries/China.txt"
CHP		= "countries/Champa.txt"
DAI		= "countries/Dai Viet.txt"
DJA		= "countries/Jambi.txt"
FJN		= "countries/Fujian.txt"
GMJ		= "countries/Guominjun.txt"
GNG		= "countries/Guangdong.txt"
GXI		= "countries/Guangxi Clique.txt"
HNG		= "countries/Hongsawatoi.txt" #EU3 Pegu, Mon primary culture
HNN		= "countries/Hunan.txt"
HUI		= "countries/Anhui.txt"
INO		= "countries/Indonesia.txt"
JAV		= "countries/Java.txt"
JOH		= "countries/Johore.txt"
KAR		= "countries/Karen.txt"
KCH		= "countries/Kachin.txt"
KLM		= "countries/Kalimantan.txt"
KMT		= "countries/Nationalist China.txt"
KOR		= "countries/Korea.txt"
KTI		= "countries/Kutai.txt"
LAN		= "countries/Lanfang.txt"
LUA		= "countries/Luang Prabang.txt"
LXA		= "countries/Lan Xang.txt"
MAL		= "countries/Maluku.txt"
MCK		= "countries/Manchukuo.txt"
MDG		= "countries/Middag.txt"
MGL		= "countries/Mongolia.txt"
MLY		= "countries/Malaya.txt"
PAT		= "countries/Pattani.txt"
PHL		= "countries/Philippines.txt"
QIN		= "countries/Qin China.txt"
QNG		= "countries/Qing China.txt" #Does not exist in-game, maybe should be deleted from here, but leave country file for QIN
SAK		= "countries/Siak.txt"
SHA		= "countries/Shan.txt"
SIA		= "countries/Siam.txt"
SLW		= "countries/Sulawesi.txt"
SUL		= "countries/Sulu.txt"
SWK		= "countries/Sarawak.txt"
SXI		= "countries/Shanxi.txt"
SZC		= "countries/Sichuan.txt"
TAI		= "countries/Taiwan.txt"
TIB		= "countries/Tibet.txt"
TPG		= "countries/Taiping.txt"
XBI		= "countries/Xibei San Ma.txt"
XIN		= "countries/Xinjiang.txt"
YNN		= "countries/Yunnan.txt"

# Japan
AIN		= "countries/Ainu.txt"
CHO		= "countries/Choshu.txt"
RYU		= "countries/Ryukyu.txt"
SAT		= "countries/Satsuma.txt"
TKG		= "countries/Shogunate Japan.txt"
TOS		= "countries/Tosa.txt"

# Australasia & the Pacific
AOT     	= "countries/Aotearoa.txt"
FIJ		= "countries/Fiji.txt"
NFB		= "countries/Naffaroako Berria.txt"
TAH 		= "countries/Tahiti.txt"
TER		= "countries/Teralarga.txt"
TGA		= "countries/Tonga.txt"

##HoD Dominions
dynamic_tags  = yes # any tags after this is considered dynamic dominions
D01		= "countries/D01.txt"
D02		= "countries/D02.txt"
D03		= "countries/D03.txt"
D04		= "countries/D04.txt"
D05		= "countries/D05.txt"
D06		= "countries/D06.txt"
D07		= "countries/D07.txt"
D08		= "countries/D08.txt"
D09		= "countries/D09.txt"
D10		= "countries/D10.txt"
D11		= "countries/D11.txt"
D12		= "countries/D12.txt"
D13		= "countries/D13.txt"
D14		= "countries/D14.txt"
D15		= "countries/D15.txt"
D16		= "countries/D16.txt"
D17		= "countries/D17.txt"
D18		= "countries/D18.txt"
D19		= "countries/D19.txt"
D20		= "countries/D20.txt"
D21		= "countries/D21.txt"
D22		= "countries/D22.txt"
D23		= "countries/D23.txt"
D24		= "countries/D24.txt"
D25		= "countries/D25.txt"
D26		= "countries/D26.txt"
D27		= "countries/D27.txt"
D28		= "countries/D28.txt"
D29		= "countries/D29.txt"
D30		= "countries/D30.txt"
D31		= "countries/D31.txt"
D32		= "countries/D32.txt"
D33		= "countries/D33.txt"
D34		= "countries/D34.txt"
D35		= "countries/D35.txt"
D36		= "countries/D36.txt"
D37		= "countries/D37.txt"
D38		= "countries/D38.txt"
D39		= "countries/D39.txt"
D40		= "countries/D40.txt"
D41		= "countries/D41.txt"
D42		= "countries/D42.txt"
D43		= "countries/D43.txt"
D44		= "countries/D44.txt"
D45		= "countries/D45.txt"
D46		= "countries/D46.txt"
D47		= "countries/D47.txt"
D48		= "countries/D48.txt"
D49		= "countries/D49.txt"
D50		= "countries/D50.txt"
